,Location,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time,Cuisine1,Cuisine2,Cuisine3,Cuisine4,Cuisine5,Cuisine6,Cuisine7,Cuisine8
30,11,150.0,50.0,3.2,18.0,7.0,30,73,69,69,69,69,69,69,69
31,4,400.0,50.0,4.0,189.0,132.0,30,22,62,48,47,26,69,69,69
32,10,200.0,50.0,3.1,279.0,74.0,45,9,31,83,14,69,69,69,69
33,4,350.0,99.0,3.3,22.0,13.0,45,73,26,69,69,69,69,69,69
34,14,100.0,50.0,4.0,581.0,111.0,30,73,69,69,69,69,69,69,69
35,28,600.0,50.0,4.7,914.0,499.0,45,5,21,19,29,84,95,14,42
36,24,100.0,50.0,3.4,23.0,7.0,30,92,69,69,69,69,69,69,69
37,18,100.0,50.0,3.6,105.0,53.0,30,31,88,69,69,69,69,69,69
38,8,200.0,50.0,3.5,305.0,29.0,45,77,31,69,69,69,69,69,69
39,33,300.0,50.0,3.6,54.0,34.0,30,22,29,69,69,69,69,69,69
40,27,200.0,50.0,4.0,1408.0,851.0,45,68,73,69,69,69,69,69,69
41,19,150.0,50.0,4.1,806.0,513.0,45,29,14,69,69,69,69,69,69
42,15,150.0,50.0,3.7,41.0,22.0,30,9,29,14,69,69,69,69,69
43,12,100.0,50.0,3.7,100.0,27.0,45,88,69,69,69,69,69,69,69
44,33,200.0,50.0,3.6,106.0,32.0,30,73,69,69,69,69,69,69,69
45,16,200.0,50.0,3.8,37.0,25.0,30,73,92,69,69,69,69,69,69
46,4,200.0,50.0,3.4,45.0,37.0,30,73,26,69,69,69,69,69,69
47,17,200.0,50.0,0.0,0.0,0.0,30,26,69,69,69,69,69,69,69
48,8,200.0,99.0,3.5,63.0,8.0,45,26,31,69,69,69,69,69,69
49,8,200.0,50.0,0.0,0.0,0.0,30,56,69,69,69,69,69,69,69
50,10,150.0,50.0,3.1,253.0,35.0,30,88,73,69,69,69,69,69,69
51,10,150.0,50.0,3.2,4.0,4.0,30,16,26,69,69,69,69,69,69
52,27,100.0,50.0,3.3,12.0,6.0,30,95,31,69,69,69,69,69,69
53,15,200.0,50.0,3.9,327.0,173.0,45,31,47,14,69,69,69,69,69
54,28,250.0,50.0,3.4,49.0,36.0,30,73,14,69,69,69,69,69,69
55,2,100.0,50.0,3.3,11.0,1.0,30,31,69,69,69,69,69,69,69
56,15,150.0,50.0,2.9,8.0,5.0,45,92,31,73,69,69,69,69,69
57,8,250.0,50.0,3.8,19.0,15.0,30,26,69,69,69,69,69,69,69
58,17,100.0,50.0,3.7,18.0,6.0,30,83,26,69,69,69,69,69,69
59,5,100.0,50.0,3.1,7.0,2.0,30,88,26,92,69,69,69,69,69
60,15,350.0,50.0,3.5,16.0,8.0,45,73,60,69,69,69,69,69,69
61,28,100.0,50.0,0.0,0.0,0.0,30,9,29,31,69,69,69,69,69
62,34,600.0,50.0,4.6,391.0,174.0,30,22,30,28,85,84,39,69,69
63,30,200.0,50.0,3.5,32.0,23.0,30,13,69,69,69,69,69,69,69
64,28,200.0,50.0,3.3,39.0,11.0,30,9,31,69,69,69,69,69,69
65,29,150.0,99.0,3.9,116.0,19.0,30,31,69,69,69,69,69,69,69
66,9,100.0,50.0,3.4,22.0,9.0,45,29,69,69,69,69,69,69,69
67,17,200.0,50.0,3.9,51.0,29.0,45,29,14,2,69,69,69,69,69
68,7,150.0,50.0,3.2,9.0,1.0,30,26,97,69,69,69,69,69,69
69,19,300.0,50.0,3.7,128.0,30.0,45,26,31,68,69,69,69,69,69
70,26,300.0,50.0,4.1,119.0,59.0,30,22,28,31,69,69,69,69,69
71,4,150.0,50.0,0.0,0.0,0.0,30,26,83,69,69,69,69,69,69
72,28,200.0,50.0,3.4,26.0,16.0,30,73,31,69,69,69,69,69,69
73,18,100.0,50.0,4.0,381.0,89.0,65,64,31,88,69,69,69,69,69
74,16,350.0,50.0,4.2,441.0,170.0,30,88,73,26,14,69,69,69,69
75,2,100.0,50.0,0.0,0.0,0.0,30,31,13,69,69,69,69,69,69
76,5,100.0,50.0,3.7,62.0,10.0,30,65,92,69,69,69,69,69,69
77,26,100.0,50.0,3.6,7.0,4.0,30,14,29,69,69,69,69,69,69
78,8,100.0,50.0,3.6,90.0,31.0,30,31,69,69,69,69,69,69,69
79,29,100.0,50.0,0.0,0.0,0.0,30,83,69,69,69,69,69,69,69
80,27,750.0,50.0,4.3,3124.0,1660.0,45,30,28,73,29,69,69,69,69
81,4,100.0,50.0,3.5,69.0,37.0,30,16,68,73,69,69,69,69,69
82,4,150.0,50.0,3.3,0.0,0.0,30,73,68,69,69,69,69,69,69
83,29,200.0,50.0,3.9,385.0,71.0,30,73,26,69,69,69,69,69,69
84,15,150.0,99.0,2.8,96.0,41.0,45,73,26,69,69,69,69,69,69
85,28,200.0,50.0,0.0,0.0,0.0,45,73,26,69,69,69,69,69,69
86,15,150.0,50.0,3.7,55.0,20.0,30,26,77,31,69,69,69,69,69
87,4,200.0,50.0,3.3,9.0,5.0,30,73,69,69,69,69,69,69,69
88,26,100.0,50.0,2.6,0.0,0.0,30,16,41,73,68,69,69,69,69
89,3,50.0,50.0,3.5,12.0,2.0,30,88,69,69,69,69,69,69,69
90,27,150.0,50.0,3.5,85.0,40.0,30,67,31,69,69,69,69,69,69
91,31,150.0,50.0,0.0,0.0,0.0,30,65,73,88,26,92,69,69,69
92,17,100.0,50.0,3.7,27.0,5.0,30,88,73,69,69,69,69,69,69
93,26,200.0,50.0,0.0,0.0,0.0,30,28,14,29,69,69,69,69,69
94,19,200.0,50.0,3.8,107.0,47.0,30,31,42,14,69,69,69,69,69
95,4,100.0,50.0,3.3,13.0,4.0,30,31,69,69,69,69,69,69,69
96,7,200.0,50.0,3.3,25.0,16.0,30,31,69,69,69,69,69,69,69
97,4,100.0,50.0,3.5,24.0,1.0,30,26,69,69,69,69,69,69,69
98,8,100.0,50.0,0.0,0.0,0.0,30,20,31,69,69,69,69,69,69
99,6,150.0,50.0,2.8,7.0,3.0,30,68,69,69,69,69,69,69,69
100,30,300.0,99.0,2.9,393.0,191.0,65,26,69,69,69,69,69,69,69
101,24,200.0,50.0,3.9,348.0,105.0,30,73,83,26,69,69,69,69,69
102,17,200.0,50.0,3.4,15.0,7.0,30,3,16,69,69,69,69,69,69
103,16,100.0,50.0,4.1,260.0,100.0,65,92,69,69,69,69,69,69,69
104,10,200.0,50.0,3.9,326.0,106.0,30,20,31,69,69,69,69,69,69
105,9,100.0,50.0,3.5,18.0,8.0,30,92,69,69,69,69,69,69,69
106,32,200.0,50.0,0.0,0.0,0.0,30,73,88,6,57,13,69,69,69
107,4,200.0,50.0,2.8,150.0,89.0,45,73,56,69,69,69,69,69,69
108,5,150.0,50.0,3.7,35.0,21.0,30,31,14,69,69,69,69,69,69
109,29,100.0,50.0,3.0,7.0,1.0,30,73,69,69,69,69,69,69,69
110,15,200.0,50.0,3.3,28.0,9.0,30,73,69,69,69,69,69,69,69
111,17,200.0,50.0,3.5,87.0,37.0,45,77,69,69,69,69,69,69,69
112,29,150.0,50.0,3.5,187.0,65.0,30,26,31,69,69,69,69,69,69
113,10,100.0,50.0,2.6,28.0,13.0,30,29,42,69,69,69,69,69,69
114,15,150.0,50.0,2.8,0.0,0.0,30,73,26,92,69,69,69,69,69
115,10,150.0,50.0,3.0,4.0,0.0,30,31,69,69,69,69,69,69,69
116,1,300.0,50.0,3.5,15.0,7.0,30,73,31,69,69,69,69,69,69
117,26,250.0,50.0,3.8,118.0,69.0,45,14,22,85,31,29,69,69,69
118,30,150.0,50.0,0.0,0.0,0.0,30,73,68,69,69,69,69,69,69
119,17,150.0,50.0,0.0,0.0,0.0,30,73,69,69,69,69,69,69,69
120,26,100.0,50.0,0.0,0.0,0.0,30,92,14,69,69,69,69,69,69
121,4,200.0,50.0,3.1,12.0,2.0,30,9,69,69,69,69,69,69,69
122,6,300.0,50.0,4.2,0.0,0.0,45,73,69,69,69,69,69,69,69
123,21,450.0,50.0,4.3,4691.0,2547.0,45,35,47,22,69,69,69,69,69
124,17,350.0,50.0,3.1,89.0,10.0,30,73,88,26,4,69,69,69,69
125,14,100.0,50.0,3.9,70.0,9.0,30,73,69,69,69,69,69,69,69
126,14,150.0,50.0,3.1,9.0,2.0,30,73,68,69,69,69,69,69,69
127,14,50.0,50.0,2.8,11.0,2.0,30,65,69,69,69,69,69,69,69
128,17,200.0,50.0,3.8,349.0,159.0,45,20,31,69,69,69,69,69,69
129,15,300.0,50.0,3.0,6.0,1.0,30,32,73,69,69,69,69,69,69
130,4,250.0,99.0,4.5,143.0,110.0,65,73,26,69,69,69,69,69,69
131,4,150.0,50.0,3.2,7.0,3.0,30,9,69,69,69,69,69,69,69
132,17,100.0,50.0,0.0,0.0,0.0,30,31,14,69,69,69,69,69,69
133,7,150.0,50.0,3.6,81.0,42.0,30,73,88,31,14,69,69,69,69
134,19,50.0,50.0,3.7,63.0,36.0,45,92,69,69,69,69,69,69,69
135,28,200.0,50.0,3.4,417.0,181.0,45,85,26,73,77,83,31,29,14
136,19,150.0,50.0,3.4,20.0,16.0,30,92,31,69,69,69,69,69,69
137,4,150.0,50.0,4.2,124.0,109.0,30,26,69,69,69,69,69,69,69
138,24,100.0,50.0,3.3,12.0,1.0,30,31,92,67,69,69,69,69,69
139,14,200.0,50.0,2.9,47.0,10.0,45,73,31,69,69,69,69,69,69
140,26,100.0,50.0,4.0,242.0,179.0,65,92,31,69,69,69,69,69,69
141,34,300.0,50.0,3.5,12.0,5.0,30,47,14,69,69,69,69,69,69
142,28,150.0,50.0,3.4,9.0,2.0,30,68,69,69,69,69,69,69,69
143,10,100.0,50.0,0.0,0.0,0.0,30,31,69,69,69,69,69,69,69
144,4,250.0,99.0,4.7,706.0,490.0,30,16,73,68,51,83,69,69,69
145,23,50.0,50.0,4.0,109.0,28.0,30,88,69,69,69,69,69,69,69
146,24,150.0,50.0,4.4,584.0,343.0,45,29,69,69,69,69,69,69,69
147,5,150.0,50.0,3.6,37.0,16.0,30,31,83,14,69,69,69,69,69
148,8,150.0,50.0,4.3,253.0,118.0,30,92,31,69,69,69,69,69,69
149,17,150.0,50.0,3.4,123.0,37.0,30,73,26,69,69,69,69,69,69
150,34,200.0,50.0,4.1,1665.0,690.0,30,25,73,86,69,69,69,69,69
151,24,150.0,50.0,3.3,9.0,3.0,30,42,31,69,69,69,69,69,69
152,7,200.0,50.0,3.9,191.0,72.0,45,77,20,31,29,69,69,69,69
153,14,100.0,50.0,0.0,0.0,0.0,30,16,68,69,69,69,69,69,69
154,26,250.0,50.0,3.0,4.0,2.0,30,26,88,73,69,69,69,69,69
155,28,150.0,50.0,3.5,40.0,6.0,30,88,69,69,69,69,69,69,69
156,34,150.0,50.0,4.0,696.0,296.0,45,73,92,29,69,69,69,69,69
157,19,150.0,50.0,3.8,72.0,33.0,45,9,29,69,69,69,69,69,69
158,31,200.0,99.0,4.0,334.0,164.0,45,26,31,73,67,69,69,69,69
159,28,200.0,50.0,0.0,0.0,0.0,30,22,29,69,69,69,69,69,69
160,28,250.0,50.0,3.8,173.0,29.0,45,73,68,67,69,69,69,69,69
161,19,100.0,50.0,3.1,5.0,2.0,30,49,69,69,69,69,69,69,69
162,18,200.0,50.0,4.1,62.0,50.0,30,29,14,69,69,69,69,69,69
163,33,100.0,50.0,3.8,85.0,27.0,30,26,73,69,69,69,69,69,69
164,25,250.0,50.0,3.8,224.0,129.0,45,85,47,29,69,69,69,69,69
165,4,200.0,50.0,0.0,0.0,0.0,30,68,69,69,69,69,69,69,69
166,14,100.0,50.0,0.0,0.0,0.0,30,73,69,69,69,69,69,69,69
167,7,600.0,50.0,4.2,2653.0,1581.0,65,22,47,69,69,69,69,69,69
168,34,150.0,50.0,0.0,0.0,0.0,30,73,26,69,69,69,69,69,69
169,6,150.0,50.0,4.8,326.0,234.0,30,73,26,83,69,69,69,69,69
170,34,300.0,50.0,3.5,90.0,45.0,45,13,31,69,69,69,69,69,69
171,10,200.0,50.0,3.9,175.0,59.0,45,73,92,69,69,69,69,69,69
172,10,150.0,50.0,3.1,4.0,0.0,30,73,69,69,69,69,69,69,69
173,26,200.0,50.0,4.1,0.0,0.0,30,42,29,69,69,69,69,69,69
174,1,100.0,50.0,3.3,15.0,7.0,30,65,69,69,69,69,69,69,69
175,9,200.0,50.0,4.0,4335.0,2363.0,30,76,9,69,69,69,69,69,69
176,19,400.0,50.0,3.6,163.0,72.0,45,48,93,69,69,69,69,69,69
177,28,550.0,50.0,3.4,53.0,24.0,30,73,26,69,69,69,69,69,69
178,14,150.0,50.0,2.9,6.0,2.0,45,14,29,42,69,69,69,69,69
179,6,50.0,50.0,3.1,6.0,2.0,30,83,69,69,69,69,69,69,69
180,19,350.0,50.0,3.0,19.0,5.0,45,73,88,26,31,69,69,69,69
181,26,150.0,99.0,3.9,216.0,115.0,45,73,26,69,69,69,69,69,69
182,14,200.0,50.0,3.7,45.0,12.0,45,73,26,69,69,69,69,69,69
183,21,200.0,50.0,3.8,302.0,138.0,45,73,26,69,69,69,69,69,69
184,32,150.0,50.0,2.8,16.0,8.0,45,73,69,69,69,69,69,69,69
185,9,200.0,50.0,3.1,76.0,36.0,45,31,26,69,69,69,69,69,69
186,8,100.0,50.0,3.1,4.0,1.0,30,92,69,69,69,69,69,69,69
187,24,150.0,50.0,0.0,0.0,0.0,30,42,31,14,69,69,69,69,69
188,24,150.0,50.0,3.6,87.0,45.0,45,88,69,69,69,69,69,69,69
189,14,200.0,50.0,3.3,9.0,1.0,30,22,69,69,69,69,69,69,69
190,33,100.0,50.0,3.2,12.0,7.0,30,26,31,69,69,69,69,69,69
191,17,300.0,50.0,3.4,298.0,175.0,65,26,31,73,68,69,69,69,69
192,26,150.0,50.0,3.6,18.0,3.0,45,29,69,69,69,69,69,69,69
193,9,150.0,50.0,3.7,77.0,39.0,45,31,92,14,69,69,69,69,69
194,25,150.0,50.0,3.5,101.0,53.0,45,31,2,69,69,69,69,69,69
195,19,100.0,50.0,3.9,116.0,66.0,45,31,68,69,69,69,69,69,69
196,24,200.0,50.0,0.0,0.0,0.0,30,31,16,14,69,69,69,69,69
197,34,650.0,50.0,4.4,3248.0,1603.0,45,47,77,84,39,62,22,29,28
198,28,200.0,50.0,3.6,125.0,29.0,30,26,73,69,69,69,69,69,69
199,8,350.0,50.0,3.3,11.0,6.0,30,77,14,69,69,69,69,69,69
200,33,100.0,50.0,3.6,31.0,15.0,30,14,49,31,69,69,69,69,69
201,14,150.0,50.0,3.0,4.0,1.0,30,73,69,69,69,69,69,69,69
202,17,150.0,50.0,3.1,192.0,50.0,45,26,73,69,69,69,69,69,69
203,17,400.0,50.0,4.2,2828.0,1443.0,45,22,28,47,69,69,69,69,69
204,4,150.0,50.0,3.2,6.0,4.0,30,9,29,69,69,69,69,69,69
205,7,800.0,50.0,4.2,721.0,390.0,45,48,93,5,69,69,69,69,69
206,23,150.0,50.0,3.3,4.0,2.0,30,73,68,69,69,69,69,69,69
207,4,200.0,50.0,3.7,66.0,42.0,30,73,68,69,69,69,69,69,69
208,4,150.0,50.0,0.0,0.0,0.0,30,26,31,67,69,69,69,69,69
209,30,150.0,50.0,3.5,45.0,29.0,45,73,88,26,13,74,16,14,69
210,19,200.0,50.0,0.0,0.0,0.0,30,20,69,69,69,69,69,69,69
211,15,150.0,50.0,3.9,219.0,108.0,30,88,69,69,69,69,69,69,69
212,19,200.0,50.0,3.5,36.0,24.0,65,84,14,39,29,69,69,69,69
213,17,200.0,50.0,4.5,2805.0,1457.0,45,42,22,77,20,14,69,69,69
214,17,200.0,50.0,4.1,37.0,30.0,45,5,16,73,29,69,69,69,69
215,31,150.0,50.0,4.0,34.0,27.0,30,28,20,101,14,69,69,69,69
216,8,150.0,50.0,0.0,0.0,0.0,30,31,26,69,69,69,69,69,69
217,10,100.0,50.0,0.0,0.0,0.0,30,92,69,69,69,69,69,69,69
218,13,100.0,50.0,0.0,0.0,0.0,30,26,69,69,69,69,69,69,69
219,31,150.0,50.0,3.3,35.0,16.0,65,65,92,26,69,69,69,69,69
220,16,150.0,50.0,0.0,0.0,0.0,30,73,68,69,69,69,69,69,69
221,28,250.0,50.0,2.8,27.0,11.0,30,73,26,69,69,69,69,69,69
222,26,250.0,50.0,3.9,163.0,112.0,30,94,16,88,25,73,26,69,69
223,27,200.0,50.0,3.7,182.0,107.0,45,88,73,31,69,69,69,69,69
224,16,150.0,50.0,0.0,0.0,0.0,30,26,73,92,69,69,69,69,69
225,21,1000.0,50.0,4.7,441.0,259.0,30,26,23,69,69,69,69,69,69
226,5,100.0,50.0,2.9,0.0,0.0,30,72,67,31,14,98,69,69,69
227,14,150.0,50.0,3.5,26.0,6.0,30,31,26,69,69,69,69,69,69
228,24,100.0,50.0,0.0,0.0,0.0,30,92,69,69,69,69,69,69,69
229,15,150.0,50.0,3.3,12.0,7.0,30,57,88,26,69,69,69,69,69
230,4,50.0,50.0,3.2,11.0,1.0,30,9,69,69,69,69,69,69,69
231,9,100.0,99.0,3.9,60.0,15.0,45,65,69,69,69,69,69,69,69
232,17,100.0,50.0,0.0,0.0,0.0,30,73,88,31,69,69,69,69,69
233,25,100.0,50.0,3.6,353.0,53.0,30,16,68,69,69,69,69,69,69
234,30,100.0,50.0,0.0,0.0,0.0,30,26,73,69,69,69,69,69,69
235,1,100.0,50.0,3.6,27.0,12.0,30,73,83,69,69,69,69,69,69
236,28,150.0,50.0,3.7,43.0,9.0,30,77,31,69,69,69,69,69,69
237,25,150.0,50.0,0.0,0.0,0.0,30,13,69,69,69,69,69,69,69
238,19,100.0,50.0,3.3,10.0,4.0,30,31,69,69,69,69,69,69,69
239,30,200.0,50.0,3.5,13.0,9.0,30,26,97,69,69,69,69,69,69
240,4,300.0,50.0,3.4,47.0,25.0,30,73,26,68,69,69,69,69,69
241,1,100.0,50.0,3.3,10.0,0.0,30,73,31,69,69,69,69,69,69
242,30,150.0,50.0,3.4,13.0,1.0,30,65,92,69,69,69,69,69,69
243,17,250.0,50.0,4.2,633.0,269.0,45,98,26,67,69,69,69,69,69
244,14,150.0,50.0,3.5,23.0,6.0,30,31,20,69,69,69,69,69,69
245,21,150.0,50.0,3.4,13.0,10.0,45,92,31,14,69,69,69,69,69
246,19,300.0,50.0,3.8,77.0,52.0,30,9,69,69,69,69,69,69,69
247,28,300.0,50.0,0.0,0.0,0.0,30,73,26,69,69,69,69,69,69
248,14,200.0,50.0,0.0,0.0,0.0,30,73,31,26,69,69,69,69,69
249,18,300.0,50.0,3.6,54.0,34.0,30,22,29,69,69,69,69,69,69
250,8,200.0,50.0,0.0,0.0,0.0,30,22,31,69,69,69,69,69,69
251,4,200.0,50.0,3.7,112.0,41.0,30,3,41,16,88,73,83,68,69
252,28,100.0,50.0,0.0,0.0,0.0,10,31,39,69,69,69,69,69,69
253,16,150.0,50.0,0.0,0.0,0.0,30,73,26,69,69,69,69,69,69
254,28,250.0,50.0,3.6,76.0,38.0,30,73,26,68,69,69,69,69,69
255,29,100.0,50.0,0.0,0.0,0.0,30,16,69,69,69,69,69,69,69
256,4,200.0,50.0,0.0,0.0,0.0,65,73,26,69,69,69,69,69,69
257,15,200.0,50.0,3.7,101.0,29.0,45,47,31,69,69,69,69,69,69
258,31,150.0,50.0,4.1,144.0,33.0,30,73,69,69,69,69,69,69,69
259,17,100.0,50.0,3.5,49.0,7.0,30,73,69,69,69,69,69,69,69
260,28,150.0,50.0,3.5,20.0,16.0,30,29,9,69,69,69,69,69,69
261,19,100.0,50.0,3.0,4.0,1.0,30,31,85,69,69,69,69,69,69
262,9,150.0,50.0,3.2,15.0,7.0,30,47,55,73,69,69,69,69,69
263,14,150.0,50.0,0.0,0.0,0.0,30,73,68,14,69,69,69,69,69
264,1,100.0,50.0,2.9,0.0,0.0,30,72,67,31,14,98,69,69,69
265,9,200.0,50.0,3.8,426.0,196.0,45,26,68,73,86,16,69,69,69
266,10,100.0,50.0,4.0,61.0,40.0,30,42,69,69,69,69,69,69,69
267,25,250.0,50.0,4.1,1307.0,794.0,45,22,89,47,62,84,49,69,69
268,15,150.0,50.0,3.7,26.0,10.0,30,84,69,69,69,69,69,69,69
269,21,250.0,50.0,3.1,9.0,1.0,30,26,73,68,69,69,69,69,69
270,30,200.0,99.0,3.2,7.0,2.0,65,73,88,69,69,69,69,69,69
271,2,100.0,50.0,0.0,0.0,0.0,30,88,31,69,69,69,69,69,69
272,17,650.0,50.0,4.4,925.0,589.0,30,26,93,5,97,69,69,69,69
273,26,150.0,50.0,3.3,24.0,8.0,30,88,73,26,69,69,69,69,69
274,1,250.0,50.0,3.4,40.0,7.0,45,73,83,55,69,69,69,69,69
275,15,100.0,50.0,3.6,33.0,8.0,30,88,69,69,69,69,69,69,69
276,15,100.0,0.0,3.3,12.0,1.0,30,57,69,69,69,69,69,69,69
277,27,300.0,0.0,3.6,102.0,48.0,45,73,26,69,69,69,69,69,69
278,9,150.0,50.0,3.7,53.0,18.0,30,26,73,69,69,69,69,69,69
279,9,200.0,50.0,3.4,47.0,6.0,65,73,88,26,69,69,69,69,69
280,5,250.0,50.0,3.9,297.0,145.0,45,28,77,47,69,69,69,69,69
281,27,200.0,50.0,4.0,4335.0,2363.0,30,76,9,69,69,69,69,69,69
282,7,600.0,50.0,3.9,750.0,536.0,30,73,26,31,69,69,69,69,69
283,16,100.0,50.0,3.6,11.0,4.0,45,14,69,69,69,69,69,69,69
284,19,100.0,50.0,3.8,110.0,53.0,30,31,69,69,69,69,69,69,69
285,4,200.0,50.0,4.1,479.0,247.0,45,31,77,73,67,69,69,69,69
286,28,100.0,50.0,3.3,15.0,1.0,30,73,69,69,69,69,69,69,69
287,29,200.0,50.0,2.4,19.0,11.0,30,73,69,69,69,69,69,69,69
288,14,200.0,50.0,0.0,0.0,0.0,30,9,29,65,69,69,69,69,69
289,16,150.0,50.0,3.8,112.0,37.0,45,31,69,69,69,69,69,69,69
290,4,350.0,50.0,3.6,67.0,11.0,30,68,73,51,83,69,69,69,69
291,16,350.0,50.0,3.6,34.0,18.0,30,73,26,69,69,69,69,69,69
292,23,50.0,50.0,3.1,98.0,10.0,30,88,69,69,69,69,69,69,69
293,17,100.0,50.0,4.2,236.0,72.0,45,73,69,69,69,69,69,69,69
294,21,150.0,50.0,2.9,8.0,5.0,45,92,31,73,69,69,69,69,69
295,8,200.0,50.0,3.5,32.0,10.0,30,9,29,31,69,69,69,69,69
296,8,200.0,50.0,2.9,4.0,3.0,30,73,88,69,69,69,69,69,69
297,5,100.0,50.0,3.4,25.0,20.0,30,73,28,26,49,69,69,69,69
298,19,200.0,0.0,3.6,277.0,89.0,30,77,31,69,69,69,69,69,69
299,1,250.0,50.0,3.1,5.0,0.0,30,73,69,69,69,69,69,69,69
300,19,200.0,50.0,3.4,25.0,17.0,30,26,69,69,69,69,69,69,69
301,29,200.0,50.0,2.6,123.0,49.0,45,73,26,88,31,69,69,69,69
302,10,100.0,50.0,0.0,0.0,0.0,45,31,14,69,69,69,69,69,69
303,30,350.0,50.0,2.9,839.0,245.0,45,4,73,16,26,86,69,69,69
304,22,100.0,50.0,3.5,237.0,2.0,45,88,69,69,69,69,69,69,69
305,27,100.0,50.0,0.0,0.0,0.0,30,29,69,69,69,69,69,69,69
306,30,100.0,50.0,3.4,29.0,23.0,65,73,26,69,69,69,69,69,69
307,5,150.0,50.0,3.6,374.0,87.0,45,20,31,69,69,69,69,69,69
308,28,200.0,50.0,3.3,32.0,3.0,45,31,77,69,69,69,69,69,69
309,21,100.0,50.0,0.0,0.0,0.0,30,73,69,69,69,69,69,69,69
310,15,500.0,99.0,3.1,46.0,32.0,30,73,26,86,69,69,69,69,69
311,28,100.0,50.0,2.9,43.0,15.0,30,88,26,69,69,69,69,69,69
312,17,200.0,50.0,3.9,59.0,31.0,30,73,85,29,14,28,26,16,68
313,19,200.0,99.0,3.7,246.0,83.0,30,14,29,42,69,69,69,69,69
314,29,150.0,50.0,3.6,36.0,12.0,30,68,73,69,69,69,69,69,69
315,7,200.0,50.0,3.6,87.0,28.0,65,73,68,26,69,69,69,69,69
316,28,250.0,99.0,0.0,0.0,0.0,45,26,73,69,69,69,69,69,69
317,17,100.0,50.0,4.0,62.0,32.0,30,88,26,69,69,69,69,69,69
318,17,300.0,50.0,4.0,201.0,54.0,45,88,73,26,16,69,69,69,69
319,9,100.0,50.0,3.5,44.0,4.0,45,85,69,69,69,69,69,69,69
320,33,100.0,50.0,3.4,15.0,4.0,30,16,31,69,69,69,69,69,69
321,4,200.0,50.0,3.0,129.0,42.0,65,73,26,69,69,69,69,69,69
322,14,200.0,99.0,3.2,37.0,7.0,65,73,68,69,69,69,69,69,69
323,8,250.0,50.0,3.9,297.0,145.0,45,28,77,47,69,69,69,69,69
324,15,150.0,50.0,0.0,0.0,0.0,30,31,69,69,69,69,69,69,69
325,24,250.0,50.0,4.7,707.0,453.0,30,31,39,69,69,69,69,69,69
326,6,100.0,50.0,3.7,62.0,22.0,30,31,26,69,69,69,69,69,69
327,10,150.0,50.0,0.0,0.0,0.0,30,16,73,69,69,69,69,69,69
